experiment,model_type,transform_type,use_savgol,tune_hyperparams,model_file,rmse,r2,mae,explained_variance
xgb_snv_savgol,xgb,snv,True,False,models/xgb_Brix_20250528_164114.pkl,0.2873856429689174,0.7380460227388532,0.21030847194241514,0.7386791315240337
xgb_snv_savgol,xgb,snv,True,False,models/xgb_Brix_20250528_164116.pkl,0.2873856429689174,0.7380460227388532,0.21030847194241514,0.7386791315240337
xgb_msc_savgol,xgb,msc,True,False,models/xgb_Brix_20250528_164118.pkl,0.27055494511085904,0.7678301541942119,0.20778882344386315,0.7685670396087967
rf_snv_savgol,rf,snv,True,False,models/rf_Brix_20250528_164120.pkl,0.25919555529275695,0.7869164319431439,0.181421455913103,0.7882247985575669
rf_snv_savgol_tuned,rf,snv,True,True,models/rf_Brix_20250528_164152.pkl,0.2567538837629572,0.7909120985528157,0.18291954020632106,0.7923994655874879
rf_msc_savgol,rf,msc,True,False,models/rf_Brix_20250528_164154.pkl,0.2643890762629377,0.7782917390340803,0.18492720305206864,0.7795189679342629
svr_snv_savgol,svr,snv,True,False,models/svr_Brix_20250528_164155.pkl,0.5407522834818207,0.0725476956880241,0.424162017281897,0.09193374950226019
svr_msc_savgol,svr,msc,True,False,models/svr_Brix_20250528_164157.pkl,0.5410222968315094,0.07162125660256491,0.4242546645505541,0.09126325119769063
